train_acc,train_loss,val_acc,val_loss
0.025873684210526313,4.4319725,0.033600000000000005,4.3216166
0.045410526315789485,4.153148,0.0508,4.0632253
0.0645684210526316,4.0187316,0.06559999999999999,4.096971
0.07888421052631579,3.9241207,0.08800000000000001,3.8414314
0.09570526315789475,3.8106315,0.11,3.7180586
0.11320000000000001,3.709891,0.11800000000000001,3.6226153
0.12682105263157897,3.623528,0.1408,3.4988742
0.14065263157894736,3.5422707,0.158,3.4995434
0.15543157894736845,3.4663858,0.154,3.465648
0.1717263157894737,3.3843753,0.1748,3.4009247
0.18334736842105265,3.3080828,0.17880000000000001,3.373313
0.19749473684210528,3.2357736,0.19440000000000002,3.2285132
0.21006315789473684,3.1595595,0.2212,3.1046572
0.22402105263157898,3.0797002,0.20800000000000002,3.2126114
0.23410526315789473,3.0227623,0.2288,3.0547428
0.2479578947368421,2.94678,0.23840000000000003,2.9981391
0.25694736842105265,2.8757212,0.2528,2.8856804
0.27353684210526313,2.8085098,0.25600000000000006,2.9033585
0.2883578947368421,2.7507207,0.2892,2.7338526
0.29715789473684207,2.6993012,0.3068,2.6691036
0.30884210526315786,2.6439972,0.2968,2.700376
0.31686315789473685,2.601642,0.30400000000000005,2.7421243
0.3290947368421053,2.5478015,0.3164,2.621655
0.33781052631578945,2.506657,0.32799999999999996,2.549324
0.34898947368421057,2.456059,0.33520000000000005,2.49969
0.3571157894736842,2.4238446,0.3268,2.6036596
0.3648421052631579,2.3849742,0.3456,2.4967513
0.37469473684210525,2.3472853,0.3592000000000001,2.436801
0.3794526315789473,2.3167164,0.34639999999999993,2.4555883
0.3840842105263158,2.2822416,0.35240000000000005,2.4593508
0.3935368421052632,2.2556539,0.366,2.3690484
0.39968421052631586,2.2226255,0.37439999999999996,2.3752592
0.4030947368421053,2.202776,0.38120000000000004,2.302009
0.41048421052631584,2.1690135,0.38160000000000005,2.3673737
0.42183157894736845,2.1341817,0.3752,2.3146677
0.42119999999999996,2.1178198,0.39120000000000005,2.2455666
0.42814736842105267,2.0913122,0.3836,2.330209
0.4343368421052632,2.0662248,0.38959999999999995,2.2757888
0.4372421052631579,2.047571,0.406,2.2459512
0.4461894736842106,2.0186143,0.39960000000000007,2.2985644
0.4519368421052632,2.0013204,0.40759999999999996,2.1975508
0.454421052631579,1.9686475,0.3936,2.3319166
0.4586105263157894,1.9609748,0.4168,2.14087
0.46486315789473687,1.9333566,0.41479999999999995,2.1908312
0.46795789473684213,1.9179363,0.4128,2.1840847
0.4726105263157895,1.8953676,0.41400000000000003,2.2174063
0.47934736842105263,1.8800831,0.4232,2.1169758
0.4844421052631579,1.8595287,0.42839999999999995,2.1412628
0.48372631578947367,1.8467984,0.4208,2.1680415
0.4928210526315789,1.8273293,0.43119999999999997,2.1085851
0.490821052631579,1.818661,0.4328,2.1049993
0.4975578947368421,1.7958404,0.44160000000000005,2.0699341
0.5007789473684211,1.7817497,0.4408000000000001,2.0510175
0.5039157894736842,1.7599324,0.44000000000000006,2.0490365
0.5090947368421053,1.7484938,0.4427999999999999,2.0271783
0.5124,1.7387186,0.44880000000000003,2.040822
0.5167368421052632,1.7192651,0.45,2.0015426
0.5206315789473684,1.7051524,0.46240000000000003,2.001529
0.5228842105263158,1.6958399,0.4536,1.9959031
0.5249263157894737,1.6768423,0.45480000000000004,2.0040197
0.5311789473684211,1.6636596,0.4464,2.0409904
0.5318526315789475,1.6497091,0.45400000000000007,2.0272987
0.5357473684210526,1.6377194,0.45399999999999996,2.0311573
0.5386526315789474,1.6260182,0.46599999999999997,1.9754715
0.5400842105263158,1.6142613,0.46,2.0281358
0.5470947368421053,1.5946381,0.4696,1.9457195
0.5453263157894737,1.5878062,0.4716,1.9527004
0.5514526315789475,1.5755826,0.4704,1.9924678
0.5508210526315789,1.5666906,0.47240000000000004,1.9422066
0.556821052631579,1.5600052,0.4668,1.9636606
0.5565263157894738,1.5470223,0.46120000000000005,1.9596509
0.5609052631578948,1.5356839,0.4772,1.9587368
0.5627157894736842,1.5317268,0.47839999999999994,1.9195373
0.5669473684210525,1.5192231,0.4696,1.9534516
0.5690947368421053,1.5042852,0.4744,1.9396929
0.5700842105263159,1.4994385,0.48200000000000004,1.9435241
0.5705473684210526,1.4927084,0.4728,1.9314411
0.5747789473684211,1.4815785,0.4796,1.9358351
0.5755157894736842,1.4735223,0.4876,1.9274293
0.5771578947368421,1.4714847,0.48200000000000004,1.9232008
0.5770947368421053,1.4663517,0.4796,1.9202582
0.5822105263157896,1.455088,0.48599999999999993,1.9164962
0.5838947368421054,1.4430113,0.4708,1.9377905
0.5849473684210527,1.43867,0.4832,1.930029
0.581978947368421,1.4419094,0.47600000000000003,1.9293091
0.588757894736842,1.4310102,0.486,1.9216403
0.5874526315789473,1.4301413,0.4864,1.9181219
0.5910315789473685,1.4286042,0.48440000000000005,1.9153621
0.5902526315789474,1.4222007,0.488,1.914916
0.5921684210526316,1.4162495,0.4824,1.9140507
0.5941473684210526,1.4117715,0.48960000000000004,1.9076025
0.5912631578947368,1.4155135,0.48839999999999995,1.9083934
0.5924210526315791,1.4098191,0.4796,1.9252816
0.5925052631578949,1.4129194,0.48560000000000003,1.9120085
0.5942315789473684,1.4069542,0.4864,1.9128966
0.5954736842105264,1.3959895,0.48560000000000003,1.9106319
0.5961684210526315,1.4013205,0.4844,1.9080586
0.5948,1.400825,0.48279999999999995,1.9078763
0.5959789473684212,1.3996745,0.48560000000000003,1.9146188
0.5951789473684211,1.3980708,0.4844,1.910978
